bottle	0	9999	20190205	6	0	1	0	35	0	0	0
23.79	35	0	0
0.0	-55.741979	22.99	10:27:16
0.15	-38.6	23.64	10:28:18
0.3	-14.8	23.71	10:29:15
0.45	4.8	23.93	10:29:59
0.6	18.4	23.79	10:30:43
0.75	29	23.86	10:31:20
0.9	37.7	23.79	10:31:50
1.05	45.2	23.86	10:32:20
1.2	51.8	23.79	10:32:58
1.35	58	23.79	10:33:21
1.5	64.2	23.79	10:33:52
1.65	70.4	23.86	10:34:15
1.8	77.1	23.71	10:34:45
1.95	84.4	23.86	10:35:09
2.1	92.9	23.86	10:35:33
2.25	103.7	23.86	10:36:03
2.4	118.3	23.86	10:36:27
2.55	142.4	23.71	10:37:04
2.7	171.6	23.93	10:37:41
2.85	190.3	23.86	10:38:18
3	201.7	23.79	10:38:48
3.15	209.5	23.86	10:39:12
3.3	215.8	23.93	10:39:35
3.45	220.9	23.86	10:39:59
3.6	225.1	23.79	10:40:23
3.75	228.8	23.86	10:40:53
3.9	232.1	23.79	10:41:17
4.05	235.1	23.71	10:41:40
4.2	237.9	23.79	10:42:04
