bottle	0	9999	20190205	5	0	1	0	35	0	0	0
23.28	35	0	0
0.0	-58.673872	21.32	09:33:57
0.15	-39.8	22.77	09:35:07
0.3	-15.7	23.06	09:36:13
0.45	4	23.06	09:36:57
0.6	17.5	23.06	09:37:42
0.75	28.1	22.99	09:38:20
0.9	36.7	23.06	09:38:51
1.05	44.1	23.06	09:39:22
1.2	50.6	23.28	09:39:53
1.35	56.8	23.06	09:40:24
1.5	62.8	23.06	09:40:48
1.65	69	23.06	09:41:12
1.8	75.8	23.06	09:41:36
1.95	83.3	23.06	09:42:00
2.1	91.9	23.06	09:42:31
2.25	102.4	23.13	09:42:55
2.4	117.2	23.06	09:43:19
2.55	140.6	23.13	09:43:57
2.7	170.5	22.99	09:44:35
2.85	189.8	23.06	09:45:13
3	201.1	23.21	09:45:44
3.15	209.2	23.06	09:46:15
3.3	215.7	23.21	09:46:53
3.45	220.6	23.21	09:47:17
3.6	224.8	23.13	09:47:41
3.75	228.4	23.21	09:48:05
3.9	231.9	23.28	09:48:29
4.05	234.9	23.21	09:48:53
4.2	237.5	23.28	09:49:31
