bottle	0	9999	20190205	6	0	1	0	35	0	0	0
23.57	35	0	0
0.0	-56.894681	21.61	09:57:26
0.15	-38.2	23.06	09:58:34
0.3	-14	23.35	09:59:38
0.45	5.7	23.42	10:00:29
0.6	19.3	23.64	10:01:13
0.75	29.8	23.64	10:01:56
0.9	38.5	23.57	10:02:27
1.05	46.1	23.50	10:02:57
1.2	52.7	23.50	10:03:27
1.35	59.2	23.57	10:03:58
1.5	65.4	23.57	10:04:21
1.65	71.8	23.50	10:04:45
1.8	78.7	23.64	10:05:08
1.95	86.8	23.57	10:05:45
2.1	96.1	23.50	10:06:09
2.25	107.9	23.64	10:06:39
2.4	125.3	23.50	10:07:03
2.55	154.5	23.64	10:07:40
2.7	180.6	23.50	10:08:17
2.85	195.7	23.57	10:08:47
3	205.7	23.57	10:09:18
3.15	212.9	23.57	10:09:48
3.3	218.5	23.64	10:10:12
3.45	223.2	23.64	10:10:35
3.6	227.2	23.57	10:10:59
3.75	230.6	23.64	10:11:22
3.9	233.7	23.64	10:11:46
4.05	236.7	23.57	10:12:16
4.2	239.3	23.57	10:12:40
