bottle	0	9999	20190205	7	0	1	0	35	0	0	0
23.79	35	0	0
0.0	-56.41549	21.90	11:21:20
0.15	-38.4	23.50	11:22:22
0.3	-14.6	23.64	11:23:19
0.45	5	23.64	11:24:03
0.6	18.6	23.86	11:24:47
0.75	29.1	23.79	11:25:24
0.9	37.8	23.86	11:25:54
1.05	45.4	23.93	11:26:18
1.2	52	23.86	11:26:48
1.35	58.2	23.86	11:27:18
1.5	64.2	23.86	11:27:42
1.65	70.5	23.71	11:28:12
1.8	77	23.86	11:28:36
1.95	84.5	23.79	11:29:06
2.1	93	23.79	11:29:30
2.25	103.9	23.79	11:30:07
2.4	118.5	23.79	11:30:37
2.55	142.7	23.71	11:31:14
2.7	172	23.86	11:31:51
2.85	190.7	23.86	11:32:28
3	202	23.79	11:32:59
3.15	209.8	23.79	11:33:22
3.3	216	23.86	11:33:46
3.45	221.1	23.86	11:34:09
3.6	225.3	23.86	11:34:33
3.75	229	23.79	11:35:03
3.9	232.2	23.71	11:35:27
4.05	235.2	23.71	11:35:50
4.2	237.9	23.79	11:36:14
